#Aths.:
#Rákabil sett á dx=20.0mm Ddx=0.2mm
# Tímasetn.  Óvissa   Mism.timi   Óvissa     Hraði     Óvissa 
#   t(s)      Dt(s)    dt(s)      Ddt(s)     v(m/s)    Dv(m/s)
0.017714   0.000021   0.035427   0.000042   0.564541   0.006977
1.172607   0.000079   0.024502   0.000041   0.816260   0.008191
2.049368   0.000122   0.019982   0.000041   1.000901   0.010029
2.792844   0.000160   0.017463   0.000041   1.145279   0.011470
3.450550   0.000193   0.015663   0.000041   1.276895   0.012784
4.047646   0.000222   0.014346   0.000041   1.394117   0.013955
4.598378   0.000250   0.013370   0.000041   1.495886   0.014972
5.113921   0.000276   0.012656   0.000041   1.580278   0.015815
5.604422   0.000300   0.012126   0.000041   1.649349   0.016505
6.098592   0.000325   0.012954   0.000041   1.543925   0.015450
6.641994   0.000352   0.014290   0.000041   1.399580   0.014004
7.250273   0.000383   0.016216   0.000041   1.233350   0.012340
7.952813   0.000418   0.019129   0.000041   1.045533   0.010461
8.814242   0.000461   0.024485   0.000041   0.816827   0.008172
10.031844   0.000522   0.039740   0.000042   0.503271   0.005035
13.853063   0.000713   0.043510   0.000042   0.459664   0.004598
