#Aths.:
#Rákabil sett á dx=20.0mm Ddx=0.2mm
# Tímasetn.  Óvissa   Mism.timi   Óvissa     Hraði     Óvissa 
#   t(s)      Dt(s)    dt(s)      Ddt(s)     v(m/s)    Dv(m/s)
0.026953   0.000021   0.053907   0.000043   0.371009   0.004298
1.512471   0.000096   0.027703   0.000041   0.721943   0.007239
2.483115   0.000144   0.021215   0.000041   0.942729   0.009443
3.266146   0.000183   0.017810   0.000041   1.122965   0.011244
3.941098   0.000217   0.015698   0.000041   1.274048   0.012754
4.544526   0.000247   0.014232   0.000041   1.405284   0.014065
5.096027   0.000275   0.013103   0.000041   1.526368   0.015276
5.607337   0.000300   0.012228   0.000041   1.635590   0.016368
6.086761   0.000324   0.011505   0.000041   1.738375   0.017395
6.540315   0.000347   0.011118   0.000041   1.798885   0.018000
7.007736   0.000370   0.012040   0.000041   1.661130   0.016621
7.516450   0.000396   0.013203   0.000041   1.514807   0.015156
8.079698   0.000424   0.014750   0.000041   1.355932   0.013566
8.718678   0.000456   0.017017   0.000041   1.175295   0.011758
9.473579   0.000494   0.020688   0.000041   0.966744   0.009672
10.447612   0.000542   0.028691   0.000041   0.697083   0.006974
