#Aths.:
#Rákabil sett á dx=20.0mm Ddx=0.2mm
# Tímasetn.  Óvissa   Mism.timi   Óvissa     Hraði     Óvissa 
#   t(s)      Dt(s)    dt(s)      Ddt(s)     v(m/s)    Dv(m/s)
0.017199   0.000021   0.034399   0.000042   0.581412   0.007224
1.139737   0.000077   0.023693   0.000041   0.844131   0.008472
1.986420   0.000119   0.019177   0.000041   1.042916   0.010451
2.697710   0.000155   0.016597   0.000041   1.205037   0.012069
3.323174   0.000186   0.014817   0.000041   1.349801   0.013515
3.888196   0.000214   0.013516   0.000041   1.479728   0.014813
4.407457   0.000240   0.012507   0.000041   1.599105   0.016006
4.890240   0.000265   0.011683   0.000041   1.711889   0.017133
5.343982   0.000287   0.011026   0.000041   1.813894   0.018153
5.793948   0.000310   0.011697   0.000041   1.709840   0.017110
6.280260   0.000334   0.012705   0.000041   1.574183   0.015752
6.814015   0.000361   0.014058   0.000041   1.422677   0.014235
7.411958   0.000391   0.015959   0.000041   1.253211   0.012539
8.104543   0.000425   0.018899   0.000041   1.058257   0.010588
8.956145   0.000468   0.024327   0.000041   0.822132   0.008225
10.184449   0.000529   0.041422   0.000042   0.482835   0.004830
